date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:52	33747/33747	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d407543f10c5608f8712588b0d2bb3d6%22	https://assets.guns.lol/cursor-effects.js	C:/Users/danin/OneDrive/Desktop/test/asd/assets.guns.lol/cursor-effects.js	(from https://guns.lol/zleon)
16:54:52	173433/173433	U-----	200	untouched ('')	application/javascript	etag:W/%222a579-1972b5ed8e0%22	https://guns.lol/_next/static/chunks/1684-ccd0ab83cbafdc8f.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/1684-ccd0ab83cbafdc8f.js	(from https://guns.lol/zleon)
16:54:52	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Jun%202025%2014:54:52%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js	C:/Users/danin/OneDrive/Desktop/test/asd/challenges.cloudflare.com/turnstile/v0/api.1a.delayed	(from https://guns.lol/zleon)
16:54:52	48828/48828	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2013:42:22%20GMT	https://challenges.cloudflare.com/turnstile/v0/b/f9574c83b4d7/api.js	C:/Users/danin/OneDrive/Desktop/test/asd/challenges.cloudflare.com/turnstile/v0/b/f9574c83b4d7/api.js	(from https://guns.lol/zleon)
16:54:53	521/521	U-----	200	untouched ('')	application/javascript	etag:W/%22209-1964048886d%22	https://guns.lol/_next/static/chunks/main-app-c95b87e4dbcdea77.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/main-app-c95b87e4dbcdea77.js	(from https://guns.lol/zleon)
16:54:53	7460/7460	---M--	200	added ('OK')	image/png	etag:%229d5d469dc06c1ff1f9253c15f8555747%22	https://assets.guns.lol/favicon/apple-touch-icon.png	C:/Users/danin/OneDrive/Desktop/test/asd/assets.guns.lol/favicon/apple-touch-icon.png	(from https://guns.lol/zleon)
16:54:53	5652/5652	U-----	200	untouched ('')	application/javascript	etag:W/%221614-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/app/layout-75c5298ff535ce4d.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/app/layout-75c5298ff535ce4d.js	(from https://guns.lol/zleon)
16:54:53	1048/1048	---M--	200	added ('OK')	image/png	etag:%22c515bac12401033974f0c3e594d9d7b7%22	https://assets.guns.lol/favicon/favicon-32x32.png	C:/Users/danin/OneDrive/Desktop/test/asd/assets.guns.lol/favicon/favicon-32x32.png	(from https://guns.lol/zleon)
16:54:53	508/508	---M--	200	added ('OK')	image/png	etag:%22a529b98cc4c42bf85527e8f44effd021%22	https://assets.guns.lol/favicon/favicon-16x16.png	C:/Users/danin/OneDrive/Desktop/test/asd/assets.guns.lol/favicon/favicon-16x16.png	(from https://guns.lol/zleon)
16:54:53	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-1964048886d%22	https://guns.lol/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://guns.lol/zleon)
16:54:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Jun%202025%2014:54:53%20GMT	https://guns.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://guns.lol/zleon)
16:54:54	10042/10042	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2014%20Jun%202025%2014:54:53%20GMT	https://guns.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/f9574c83b4d7/main.js?	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/cdn-cgi/challenge-platform/h/b/scripts/jsd/f9574c83b4d7/maind41d.js	(from https://guns.lol/zleon)
16:54:55	7461/7461	U-----	200	untouched ('')	application/javascript	etag:W/%221d25-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/6874-1335ddc9318d7318.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/6874-1335ddc9318d7318.js	(from https://guns.lol/zleon)
16:54:55	34213/34213	U-----	200	untouched ('')	application/javascript	etag:W/%2285a5-19658eb6bcf%22	https://guns.lol/_next/static/chunks/5322-a31cc2ef467c25bd.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/5322-a31cc2ef467c25bd.js	(from https://guns.lol/zleon)
16:54:55	3159/3159	U-----	200	untouched ('')	application/javascript	etag:W/%22c57-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/app/not-found-d01de2ea7903a161.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/app/not-found-d01de2ea7903a161.js	(from https://guns.lol/zleon)
16:54:55	10382/10382	U-----	200	untouched ('')	application/javascript	etag:W/%22288e-1972b5ed8dc%22	https://guns.lol/_next/static/chunks/8306-ea0440b802e2d283.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/8306-ea0440b802e2d283.js	(from https://guns.lol/zleon)
16:54:55	54040/54040	U-----	200	untouched ('')	application/javascript	etag:W/%22d318-196caeeba19%22	https://guns.lol/_next/static/chunks/540-dc9b94456c69f193.js	C:/Users/danin/OneDrive/Desktop/test/asd/guns.lol/_next/static/chunks/540-dc9b94456c69f193.js	(from https://guns.lol/zleon)
16:54:55	244065/244065	---M--	200	added ('OK')	image/png	etag:%2228424adb725c5ca4e58832580eea5dc0%22	https://assets.guns.lol/gradient_background.png	C:/Users/danin/OneDrive/Desktop/test/asd/assets.guns.lol/gradient_background.png	(from https://guns.lol/_next/static/css/11999634b1bc477a.css)
